68 THOMAS STREET,1880
129 DUANE STREET,1915
58 THOMAS STREET,2002
60 THOMAS STREET,1920
52 THOMAS STREET,1915
137 DUANE STREET,1915
63 THOMAS STREET,1920
40 WORTH STREET,1929
75 CHAMBERS STREET,1915
77 CHAMBERS STREET,1915
79 CHAMBERS STREET,1920
83 CHAMBERS STREET,1915
85 CHAMBERS STREET,1920
97 CHAMBERS STREET,1935
99 CHAMBERS STREET,1938
287 BROADWAY,1915
277 BROADWAY,1900
77 READE STREET,2009
281 BROADWAY,2010
62 READE STREET,1915
64 READE STREET,1915
66 READE STREET,1915
74 READE STREET,1915
78 READE STREET,1930
122 DUANE STREET,1920
118 DUANE STREET,1915
116 DUANE STREET,1915
104 DUANE STREET,1905
299 BROADWAY,1910
291 BROADWAY,1910
70 READE STREET,1915
58 READE STREET,1915
106 DUANE STREET,1915
108 DUANE STREET,1915
101 DUANE STREET,1988
117 DUANE STREET,1954
22 THOMAS STREET,1941
18 THOMAS STREET,1949
317 BROADWAY,1982
315 BROADWAY,1910
311 BROADWAY,1930
305 BROADWAY,1900
8 THOMAS STREET,1915
325 BROADWAY,1915
319 BROADWAY,1910
321 BROADWAY,1915
280 BROADWAY,1910
49 CHAMBERS STREET,1910
23 CHAMBERS STREET,1910
280 BROADWAY,1910
290 BROADWAY,1992
14 READE STREET,1915
2 LAFAYETTE STREET,1927
52 DUANE STREET,1935
38 LAFAYETTE STREET,1968
306 BROADWAY,1977
27 DUANE STREET,1937
20 CARDINAL HAYES PLACE,1937
39 PEARL STREET,1933
128 PARK ROW,1974
100 PARK ROW,1974
464 PEARL STREET,1992
474 PEARL STREET,1921
196 PARK ROW,1965
        PARK ROW,1992
1 CHATHAM SQUARE,1977
10 MOTT STREET,1910
12 MOTT STREET,1910
14 MOTT STREET,1900
16 MOTT STREET,1915
18 MOTT STREET,1920
20 MOTT STREET,1910
22 MOTT STREET,1915
24 MOTT STREET,1915
26 MOTT STREET,1910
28 MOTT STREET,1920
30 MOTT STREET,1910
32 MOTT STREET,1910
34 MOTT STREET,1920
29 PELL STREET,1910
25 PELL STREET,1915
23 PELL STREET,1915
21 PELL STREET,1920
19 PELL STREET,1900
